"Name";"Typ";"Name_sci";"Name_eng";"Name_alt";"Familie";"Gattung";"Lebensraum";"Lebensraum2";"Lebensraum3";"Lebensraum4"
"Gemeiner Schwimmfarn";"Krautige Pflanzen Gewässer und Gewässerufer";"Salvinia natans";"floating watermoss";"Gewöhnlicher Schwimmfarn";"Schwimmfarngewächse";"Schwimmfarne";"Stillgewässer";;;
"Krebsschere";"Krautige Pflanzen Gewässer und Gewässerufer";"Stratiotes aloides";"water soldier";"Agel, Wassersegel, Wassersichel";"Froschbissgewächse";"Stratiotes";"Stillgewässer";;;
"Gewöhnlicher Wasserhahnenfuß";"Krautige Pflanzen Gewässer und Gewässerufer";"Ranunculus aquatilis";"water crowfoot";;"Hahnenfußgewächse";"Hahnenfuß";"Stillgewässer";"Fließgewässer";;
"Schlammling";"Krautige Pflanzen Gewässer und Gewässerufer";"Limosella aquatica";"(water) mudwort";"Schlammkraut, Schlammglöckchen";"Braunwurzgewächse";"Limosella";"Fließgewässer";;;
"Braunes Zypergras";"Krautige Pflanzen Gewässer und Gewässerufer";"Cyperus fuscus";"brown galingale";;"Sauergrasgewächse";"Zypergräser";"Stillgewässer";"Feuchtwiesen";;
"Sumpf-Schwertlilie";"Krautige Pflanzen Gewässer und Gewässerufer";"Iris pseudacorus";"yellow flag";"Gelbe Schwertlilie, Wasser- Schwertlilie";"Schwertliliengewächse";"Schwertlilien";"Stillgewässer";"Fließgewässer";;
"Schilf-Rohr";"Krautige Pflanzen Gewässer und Gewässerufer";"Phragmites australis";"common reed";"Schilf";"Süßgräser";"Schilfrohre";"Stillgewässer";"Fließgewässer";"Weichholzaue";
"Blutweiderich";"Krautige Pflanzen Gewässer und Gewässerufer";"Lythrum salicaria";"purple loosestrife";;"Weiderichgewächse";"Blutweideriche";"Fließgewässer";"Weichholzaue";"Feuchtwiesen";
"Gilbweiderich";"Krautige Pflanzen Gewässer und Gewässerufer";"Lysimachia vulgaris";"loosestrife";"Gelbweiderich, Feldberich";"Primelgewächse";"Gilbweiderich";"Fließgewässer";"Hartholzaue";"Feuchtwiesen";
"Sumpf-Wolfsmilch";"Krautige Pflanzen Gewässer und Gewässerufer";"Euphorbia palustris";"marsh spurge";;"Wolfsmilchgewächse";"Wolfsmilch";"Fließgewässer";;;
"Gemeiner Wasserdost";"Krautige Pflanzen Gewässer und Gewässerufer";"Eupatorium cannabinum";"hemp agrimony";"Gemeiner Wasserdost, Wasserhanf, Kunigundenkraut";"Korbblütler";"Wasserdost";"Fließgewässer";"Stillgewässer";"Feuchtwiesen";
"Wasser-Sumpfkresse";"Krautige Pflanzen Gewässer und Gewässerufer";"Rorippa amphibia";"great yellow-cress";"Teichkresse, Ufer-Sumpfkresse";"Kreuzblütler";"Sumpfkressen";"Stillgewässer";;;
"Sumpf-Haarstrang";"Krautige Pflanzen Feuchtwiesen";"Peucedanum palustre";"milk parsley";"Ölsenich";"Doldenblütler";"Haarstrang";"Feuchtwiesen";;;
"Großer Wiesenknopf";"Krautige Pflanzen Feuchtwiesen";"Sanguisorba officinalis";"great burnet";"Groß- Wiesenknopf, Blutströpfchen";"Rosengewächse";"Wiesenknopf";"Feuchtwiesen";;;
"Kuckucks-Lichtnelke";"Krautige Pflanzen Feuchtwiesen";"Lychnis flos- cuculi";"ragged robin";;"Nelkegewächse";"Leimkräuter";"Feuchtwiesen";;;
"Kanten-Lauch";"Krautige Pflanzen Feuchtwiesen";"Allium angulosum";"mouse garlic";"Kantiger Lauch";"Amaryllisgewächse";"Lauch";"Feuchtwiesen";;;
"Rohr-Pfeifengras";"Krautige Pflanzen Feuchtwiesen";"Molinia arundinacea";"moorgrass";"Pfeifengras";"Süßgräser";"Pfeifengräser";"Feuchtwiesen";;;
"Färber-Scharte";"Krautige Pflanzen Feuchtwiesen";"Serratula tinctoria";"saw- wort";;"Korbblütler";"Scharten";"Feuchtwiesen";;;
"Weiden-Alant";"Krautige Pflanzen Feuchtwiesen";"Pentanema salicinum";"Irish fleabane";"Weidenblättriger- Alant";"Korbblütler";"Pentanema";"Feuchtwiesen";;;
"Wiesen-Salbei";"Krautige Pflanzen Magerwiesen";"Salvia pratensis";"meadow clary";;"Lippenblütler";"Salbei";"Magerwiese";;;
"Zottiger Klappertopf";"Krautige Pflanzen Magerwiesen";"Rhinanthus alectorolophus";"European yellow rattle";;"Sommerwurzgewächse";"Klappertöpfe";"Magerwiese";;;
"Echte Schlüsselblume";"Krautige Pflanzen Magerwiesen";"Primula veris";"common cowslip";"Primel";"Primelgewächse";"Primeln";"Magerwiese";"Magerrasen";"Hartholzaue";
"Gemeiner Hufeisenklee";"Krautige Pflanzen Magerrasen";"Hippocrepsis comosa";"horseshoe vetch";"Schopfiger- Hufeisenklee, Hufeisenklee";"Hülsenfrüchtler";"Hippocrepsis";"Magerrasen";;;
"Helm-Knabenkraut";"Krautige Pflanzen Magerrasen";"Orchis militaris";"military orchid";;"Orchideen";"Knabenkräuter";"Magerrasen";;;
"Zypressen-Wolfsmilch";"Krautige Pflanzen Magerrasen";"Euphorbia cyparissias";"cypress spurge";;"Wolfsmilchgewächse";"Wolfsmilch";"Magerrasen";;;
"Milder Mauerpfeffer";"Krautige Pflanzen Magerrasen";"Sedum sexangulare";"tasteless stonecrop";;"Dickblattgewächse";"Fetthennen";"Magerrasen";;;
"Steppen-Wolfsmilch";"Krautige Pflanzen Magerrasen";"Euphorbia seguieriana";"Seguier's spurge";;"Wolfsmilchgewächse";"Wolfsmilch";"Magerrasen";;;
"Schopfiges Kreuzblümchen";"Krautige Pflanzen Magerrasen";"Polygala comosa";"tufted milkwort";"Schopf- Kreuzblümchen";"Kreuzblumengewächse";"Kreuzblume";"Magerrasen";;;
"Eingriffeliger Weißdorn";"Straucharten";"Crataegus  monogyna";"hawthorn";"Hagedorn";"Rosengewächse";"Weißdorne";"Hartholzaue";"Weichholzaue";;
"Pfaffenhütchen";"Straucharten";"Euonymus europaeus";"spindle tree";"Gewöhnlich Spindelstrauch, Spindelbaum";"Spindelbaumgewächse";"Spindelsträucher";"Hartholzaue";;;
"Roter Hartriegel";"Straucharten";"Cornus sanguinea";"common dogwood";"Rotes Beinholz, Hundsbeere, Roter Hornstrauch";"Hartriegelgewächse";"Hartriegel";"Hartholzaue";"Weichholzaue";;
"Gemeiner Schneeball";"Straucharten";"Viburnum opulus";"guelder rose";"Herzbeer, Drosselbeerstrauch, Glasbeere";"Moschuskrautgewächse";"Schneeball";"Hartholzaue";"Weichholzaue";;
"Gemeiner Liguster";"Straucharten";"Ligustrum vulgare";"common privet";"Rainweiden";"Ölbaumgewächse";"Liguster";"Hartholzaue";;;
"Gemeine Heckenkirsche";"Straucharten";"Lonicera xylosteum";"	European fly honeysuckle";"Geißblätter";"Geißblattgewächse";"Heckenkirschen";"Hartholzaue";;;
"Haselstrauch";"Straucharten";"Corylus avellana";"hazel bush";"Gemeine Hasel";"Birkengewächse";"Haseln";"Hartholzaue";;;
"Schwarzer Holunder";"Straucharten";"Sambucus nigra";"black elderberry";;"Moschuskrautgewächse";"Holunder";"Hartholzaue";;;
"Silberweide";"Baumarten";"Salix alba";"white willow";;"Weidengewächse";"Weiden";"Weichholzaue";;;
"Schwarzpappel";"Baumarten";"Populus nigra";"black poplar";"Saarbaum";"Weidengewächse";"Pappeln";"Weichholzaue";"Hartholzaue";;
"Stieleiche";"Baumarten";"Quercus robur";"common oak";"Sommereiche, Deutsche Eiche";"Buchengewächse";"Eichen";"Hartholzaue";;;
"Feldulme";"Baumarten";"Ulmus minor";"small-leaved Elm";"Iper";"Ulmengewächse";"Ulmen";"Hartholzaue";"Weichholzaue";;
"Flatterulme";"Baumarten";"Ulmus laevis";"European white elm";"Flatterrüster, Weißrüster";"Ulmengewächse";"Ulmen";"Hartholzaue";;;
"Gemeine Esche";"Baumarten";"Fraxinus excelsior";"common ash";"Hohe Esche";"Ölbaumgewächse";"Eschen";"Hartholzaue";;;
"Bergahorn";"Baumarten";"Acer pseudoplatanus";"sycamoe";;"Seifenbaumgewächse";"Ahorne";"Hartholzaue";;;
"Hainbuche";"Baumarten";"Carpinus betulus";"(common) hornbeam";"Weißbuche, Hagebuche, Hornbaum";"Birkengewächse";"Hainbuchen";"Hartholzaue";;;
"Holzapfel";"Baumarten";"Malus sylvestris";"crab apple";"Europäischer Wildapfel, Krabapfel";"Rosengewächse";"Äpfel";"Hartholzaue";;;
"Wild-Birne";"Baumarten";"Pyrus pyraster";"wild pear";"Holzbirne";"Rosengewächse";"Birnen";"Hartholzaue";;;
"Efeu";"Schlingpflanzen";"Hedera helix";"common ivy";"Gemeiner Efeu";"Araliengewächse";"Efeu";"Hartholzaue";;;
"Gemeine Waldrebe";"Schlingpflanzen";"Clematis vitalba";"traveller's-joy";"Klematis";"Hahnenfußgewächse";"Waldreben";"Hartholzaue";;;
"Wilder Hopfen";"Schlingpflanzen";"Humulus lupulus";"wild hop";"Echter Hopfen";"Hanfgewächse";"Hopfen";"Hartholzaue";"Weichholzaue";;
"Wilde Weinrebe";"Schlingpflanzen";"Vitis vinifera subsp. sylvestris";"wild grape";"Wilde Weinrebe, Wilder Weinstock";"Weinrebengewächse";"Weinreben";"Hartholzaue";;;
